Age,Employment Type,GraduateOrNot,AnnualIncome,FamilyMembers,ChronicDiseases,FrequentFlyer,EverTravelledAbroad,TravelInsurance
31,Government Sector,Yes,400000,6,1,No,No,0
31,Private Sector/Self Employed,Yes,1250000,7,0,No,No,0
34,Private Sector/Self Employed,Yes,500000,4,1,No,No,1
28,Private Sector/Self Employed,Yes,700000,3,1,No,No,0
28,Private Sector/Self Employed,Yes,700000,8,1,Yes,No,0
25,Private Sector/Self Employed,No,1150000,4,0,No,No,0
31,Government Sector,Yes,1300000,4,0,No,No,0
31,Private Sector/Self Employed,Yes,1350000,3,0,Yes,Yes,1
28,Private Sector/Self Employed,Yes,1450000,6,1,Yes,Yes,1
33,Government Sector,Yes,800000,3,0,Yes,No,0
31,Government Sector,Yes,400000,9,1,No,No,0
26,Private Sector/Self Employed,Yes,1400000,5,0,Yes,Yes,1
32,Government Sector,Yes,850000,6,0,No,No,1
31,Government Sector,Yes,1500000,6,0,Yes,Yes,1
31,Government Sector,Yes,400000,3,0,No,No,0
34,Private Sector/Self Employed,Yes,700000,7,0,No,No,0
28,Private Sector/Self Employed,Yes,1150000,4,1,No,No,0
28,Private Sector/Self Employed,Yes,800000,7,0,No,No,1
29,Private Sector/Self Employed,Yes,1050000,5,1,No,No,1
34,Private Sector/Self Employed,Yes,1500000,2,0,Yes,Yes,1
28,Private Sector/Self Employed,Yes,1150000,6,0,Yes,No,0
29,Private Sector/Self Employed,Yes,350000,3,0,No,No,1
31,Private Sector/Self Employed,Yes,1100000,4,0,No,No,0
28,Government Sector,Yes,600000,9,0,No,No,1
31,Government Sector,Yes,1500000,7,0,Yes,Yes,0
35,Private Sector/Self Employed,No,800000,4,0,No,Yes,0
34,Private Sector/Self Employed,No,1300000,6,0,Yes,No,1
28,Private Sector/Self Employed,Yes,1250000,2,0,Yes,No,0
26,Private Sector/Self Employed,Yes,600000,4,0,Yes,No,0
31,Private Sector/Self Employed,Yes,900000,3,0,No,No,0
30,Private Sector/Self Employed,No,550000,6,0,Yes,Yes,0
31,Government Sector,No,300000,4,0,No,No,0
25,Government Sector,Yes,750000,4,0,No,No,1
32,Government Sector,Yes,850000,3,0,No,No,0
28,Private Sector/Self Employed,Yes,800000,9,0,No,No,1
33,Private Sector/Self Employed,Yes,1400000,4,0,Yes,Yes,0
31,Government Sector,No,300000,9,1,No,No,0
